RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	ADM2	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-2141662	-2971147	51.466667	6.166667	512800	61000	32ULC0320505530	NM32-01	S	EST		NL	05					N				BORGGRAAF	Borggraaf	Borggraaf	1994-01-08
1	-2144410	-2974701	52.9	5.75	525400	54500	31UFU8496064688	NN31-12	T	PLDR		NL	02					N				FOLLEGAASTERPOLDER	Follegaasterpolder	Follegaasterpolder	1994-01-08
1	-2146323	-2977176	52.783333	5.383333	524700	52300	31UFU6073350831	NN31-12	H	SHOL		NL	00					N				HOFSTEDE	Hofstede	Hofstede	1994-01-08
1	-2146995	-2978034	53.183333	4.983333	531100	45900	31UFU3253094502	NN31-09	H	CHNM		NL	07					N				JACKIJST	Jack IJst	Jack IJst	1994-01-08
1	-2149707	-2981304	51.55	3.666667	513300	34000	31UET4622411200	NM31-02	T	ISL		NL	10					N				MOSSELPLAAT	Mosselplaat	Mosselplaat	1994-01-08
1	-2142610	-2972327	52.083333	5.866667	520500	55200	31UFT9641374185	NN31-12	V	HTH		NL	03					N				DEELENSEZAND	Deelense Zand	Deelense Zand	1994-01-08
1	-2153659	-2986210	51.466667	5.333333	512800	52000	31UFT6207104304	NM31-03	V	HTH		NL	06					V				STRAATSCHEHEIDE	Straatsche Heide	Straatsche Heide	1994-01-08
1	-2141129	-2970498	51.5	4.3	513000	41800	31UET9023506230	NM31-03	P	PPL		NL	06					N				BERGENOPZOOM	Bergen op Zoom	Bergen op Zoom	1994-01-08
1	-2143401	-2973429	52.866667	6.266667	525200	61600	32ULD1601960938	NN32-10	H	PND		NL	01					N				DIEPENVEEN	Diepenveen	Diepenveen	1994-01-08
1	-2145523	-2976132	53.033333	6.333333	530200	62000	32ULD2119579304	NN32-07	H	CNL		NL	02					N				HAULERDIEP	Haulerdiep	Haulerdiep	1994-01-08
1	-2154380	-2987193	52.2	6.833333	521200	65000	32ULC5193085496	NN32-10	P	PPL		NL	15					N				USSELO	Usselo	Usselo	1994-01-08
1	-2152915	-2985529	53.2	5.45	531200	52700	31UFU6364697322	NN31-09	H	STMC		NL	02					V				SIXBIERUMERVAART	Sixbierumervaart	Sixbierumervaart	1994-01-08
1	-2141011	-2970359	51.45	5.633333	512700	53800	31UFT8297203158	NM31-03	P	PPL		NL	06					N				BEKELAAR	Bekelaar	Bekelaar	1994-01-08
1	-2156490	-2989773	52.75	6.9	524500	65400	32ULD5826446529	NN32-10	L	LCTY		NL	01					N				ZUIDBARGERESCH	Zuidbargeresch	Zuidbargeresch	1994-01-08
1	-2155222	-2988217	52	5.333333	520000	52000	31UFT6017463609	NN31-12	S	CSTL		NL	09					N				WALENBURG	Walenburg	Walenburg	1994-01-08
1	-2150695	-2982540	50.766667	5.9	504600	55400	31UGS0449327888	NM31-06	V	FRST		NL	05					N				ONDERSTEBOS	Onderste Bos	Onderste Bos	1994-01-08
1	-2152843	-2985218	51.116667	5.916667	510700	55500	31UGS0412966845	NM31-03	L	PRK		NL	05					N				SCHREVENHOF	Schrevenhof	Schrevenhof	1994-01-08
1	-2153349	-2985846	53.1	6.616667	530600	63700	32ULD4043686049	NN32-07	L	LCTY		NL	01					N				SPIEKHULLEN	Spiekhullen	Spiekhullen	1994-01-08
1	-2143793	-2973913	52.033333	6.316667	520200	61900	32ULC1594168145	NN32-10	P	PPL		NL	03					N				DUNSBORG	Dunsborg	Dunsborg	1994-01-08
1	-2149181	-2980683	52.966667	6.666667	525800	64000	32ULD4330071110	NN32-10	P	PPL		NL	01					N				MARWIJKSOORD	Marwijksoord	Marwijksoord	1994-01-08
1	-2156709	-2990030	51.5	4	513000	40000	31UET6941205903	NM31-03	L	LCTY		NL	10					N				ZWAAK	Zwaak	Zwaak	1994-01-08
1	-2146895	-2977888	52.933333	5.716667	525600	54300	31UFU8257968309	NN31-12	P	PPL		NL	02					N				IDSKENHUIZEN	Idskenhuizen	Idskenhuizen	1994-01-08
1	-2148627	-2979993	52.833333	6.4	525000	62400	32ULD2485856898	NN32-10	P	PPL		NL	01					N				LHEE	Lhee	Lhee	1994-01-08
1	-2151427	-2983420	51.433333	4.383333	512600	42300	31UES9615998923	NM31-03	P	PPL		NL	06					N				OVERBERG	Overberg	Overberg	1994-01-08
1	-2145691	-2976323	51.35	5.966667	512100	55800	31UGS0658092926	NM31-03	P	PPL		NL	05					N				HEIDE	Heide	Heide	1994-01-08
1	-2140515	-2969748	53.233333	5.65	531400	53900	31UFV7686401505	NN31-09	P	PPL		NL	02					N				ANJUM	Anjum	Anjum	1994-01-08
1	-2145794	-2976453	52.016667	4.816667	520100	44900	31UFT2466464450	NN31-12	P	PPL		NL	11					N				HEKENDORP	Hekendorp	Hekendorp	1994-01-08
